ID_name	MetaPopulation	Population	color	reg.shape	size	fill
GoyetQ376-19	Vestonice	Vestonice	brown	21	1.4	#ff6666
GoyetQ53-1	Vestonice	Vestonice	brown	21	1.4	#ff6666
GoyetQ56-16	Vestonice	Vestonice	brown	21	1.4	#ff6666
KremsWA3	Vestonice	Vestonice	brown	21	1.4	#ff6666
Ostuni1	Vestonice	Vestonice	brown	21	1.4	#ff6666
Ostuni2	Vestonice	Vestonice	brown	21	1.4	#ff6666
Paglicci108	Vestonice	Vestonice	brown	21	1.4	#ff6666
Paglicci133	Vestonice	Vestonice	brown	21	1.4	#ff6666
Pavlov1	Vestonice	Vestonice	brown	21	1.4	#ff6666
Vestonice13	Vestonice	Vestonice	brown	21	1.4	#ff6666
Vestonice14	Vestonice	Vestonice	brown	21	1.4	#ff6666
Vestonice15	Vestonice	Vestonice	brown	21	1.4	#ff6666
Vestonice16	Vestonice	Vestonice	brown	21	1.4	#ff6666
Vestonice43	Vestonice	Vestonice	brown	21	1.4	#ff6666
BerryAuBac	Villabruna	Villabruna	#1e1e1e	21	1.4	#ff6666
Chaudardes1	Villabruna	Villabruna	#1e1e1e	21	1.4	#ff6666
Falkenstein	Villabruna	Villabruna	#1e1e1e	21	1.4	#ff6666
I1875	Villabruna	Villabruna	#1e1e1e	21	1.4	#ff6666
I2158	Villabruna	Villabruna	#1e1e1e	21	1.4	#ff6666
Iboussieres25-1	Villabruna	Villabruna	#1e1e1e	21	1.4	#ff6666
Iboussieres31-2	Villabruna	Villabruna	#1e1e1e	21	1.4	#ff6666
LesCloseaux13	Villabruna	Villabruna	#1e1e1e	21	1.4	#ff6666
Ofnet	Villabruna	Villabruna	#1e1e1e	21	1.4	#ff6666
Ranchot88	Villabruna	Villabruna	#1e1e1e	21	1.4	#ff6666
Rochedane	Villabruna	Villabruna	#1e1e1e	21	1.4	#ff6666
Villabruna	Villabruna	Villabruna	#1e1e1e	21	1.4	#ff6666
Brillenhohle	ElMiron	ElMiron	black	21	1.4	#ff6666
Burkhardtshohle	ElMiron	ElMiron	black	21	1.4	#ff6666
ElMiron	ElMiron	ElMiron	black	21	1.4	#ff6666
GoyetQ-2	ElMiron	ElMiron	black	21	1.4	#ff6666
HohleFels49	ElMiron	ElMiron	black	21	1.4	#ff6666
HohleFels79	ElMiron	ElMiron	black	21	1.4	#ff6666
Rigney1	ElMiron	ElMiron	black	21	1.4	#ff6666
I2056	Eneolithic_Caucasus	Eneolithic_Caucasus black	black	23	1.4	#ee82b8
I1720	Maykop	Maykop black	black	23	1.4	#ee82b8
SA6003	Catacomb	Russia_Catacomb	black	23	1.4	#ee82b8
SA6001	Steppe_Maykop	Steppe_Maykop	black	23	1.4	#ee82b8
SA6004	Steppe_Maykop	Steppe_Maykop	black	23	1.4	#ee82b8
SA6013	Steppe_Maykop_outlier	Ignore_Steppe_Maykop_outlier	black	23	1.4	#ee82b8
SA6010	Yamnaya_Caucasus	Yamnaya_Caucasus	black	23	1.4	#ee82b8
Yana1	Yana_UP	Siberia_Yana_UP	black	19	1.4	#ee82b8
Yana2	Yana_UP	Siberia_Yana_UP	black	19	1.4	#ee82b8
SA6002	Late_Maykop_1d.rel.SIJ002andSIJ003	Ignore_Late_Maykop_relative 	black	23	1.4	#ee82b8
DA31	LchashenMetsamor	Armenia_LchashenMetsamor 	black	24	1.4	#ee82b8
ARM002_ARM003	Kura-Araxes	Armenia_Kura-Araxes 23	black	23	1.4	#ee82b8
I1633	Armenia_BA	Armenia_EBA	black	24	1.4	#ee82b8
I1635	Armenia_BA	Armenia_EBA	black	24	1.4	#ee82b8
I1658	Armenia_BA	Armenia_EBA	black	24	1.4	#ee82b8
RISE396	Armenia_BA	Armenia_LBA	black	24	1.4	#ee82b8
RISE397	Armenia_BA	Armenia_LBA	black	24	1.4	#ee82b8
RISE407	Armenia_BA	Armenia_LBA	black	24	1.4	#ee82b8
RISE408	Armenia_BA	Armenia_LBA	black	24	1.4	#ee82b8
RISE412	Armenia_BA	Armenia_LBA	black	24	1.4	#ee82b8
I1656	Armenia_BA	Armenia_MBA	black	24	1.4	#ee82b8
RISE413	Armenia_BA	Armenia_MBA	black	24	1.4	#ee82b8
RISE416	Armenia_BA	Armenia_MBA	black	24	1.4	#ee82b8
RISE423	Armenia_BA	Armenia_MBA	black	24	1.4	#ee82b8
I1407	Armenia_Chl	Armenia_Chl	black	23	1.4	#ee82b8
