a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	1	cay004	cay007	976	0.053236	0.000000	0.000000	0.297400	0.000000	0.002017	0.000000	0.647345	0.000000	0.000001	0.649363	0.944746	0.000000	0.000000	0.000000	0.647346	0.000000	0.647346	0.797055	-0.147691	-980.972980	582	-1	0.012950	5.220211e-02,2.960963e-07,1.219512e-01,8.301552e-06,5.764406e-06,1.082655e-01,1.705763e-01,2.005188e-02,5.269386e-01	50747.204405	0.000014	-4.558677	-1069.018871	102
0	2	cay004	cay008	325	0.314156	0.000000	0.000000	0.000007	0.000000	0.685810	0.000000	0.000026	0.000001	0.000001	0.685837	0.000034	0.000001	0.000001	0.000001	0.000026	0.000001	0.000027	0.342935	0.342901	-319.604226	58	-1	0.004312	6.150082e-02,5.398714e-08,9.323907e-02,2.819779e-09,7.800158e-10,1.066967e-01,3.910408e-04,3.317139e-01,4.064584e-01	120036179.381287	0.000000	-0.427134	-342.629149	282
0	3	cay004	cay011	98	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000001	1.000000	0.999845	0.000001	0.000001	0.000001	0.999845	0.000001	0.999845	0.999923	0.000077	-95.766050	114	-95.766117	0.001300	5.911838e-02,3.474104e-03,1.512731e-01,6.488451e-04,1.968785e-10,3.614374e-07,1.935064e-01,1.534974e-09,5.919788e-01	1751230032.664678	0.000000	-167.234204	-106.466791	474
0	4	cay004	cay012	92	0.000000	0.000000	0.000000	0.000000	0.000000	0.009302	0.001437	0.867617	0.121644	0.122722	1.000000	0.989261	0.122363	0.122363	0.121644	0.867617	0.121644	0.989261	0.995349	0.004651	-86.693000	1210	-1	0.001221	6.499692e-02,3.969037e-04,1.301385e-01,2.820369e-07,9.410468e-07,3.214384e-08,1.301937e-01,2.817517e-04,6.739910e-01	276641.091930	0.000004	-764.723894	-89.697801	614
0	5	cay004	cay013	616	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000002	0.999958	0.000002	0.000002	0.000002	0.000002	0.000000	0.000002	0.000002	0.499980	0.499978	-624.240039	70	-624.240285	0.008173	2.066549e-02,8.868359e-02,1.242925e-01,1.151102e-07,4.227131e-07,1.333051e-05,5.531033e-08,3.452850e-01,4.210594e-01	294035.336412	0.000001	-0.572798	-685.283322	67
0	6	cay004	cay014	194	0.000000	0.000000	0.000000	0.989455	0.000000	0.000000	0.000000	0.010542	0.000003	0.000003	0.010545	1.000000	0.000003	0.000003	0.000003	0.010542	0.000003	0.010545	0.505273	-0.494727	-178.004361	138	-1	0.002574	1.339338e-08,1.872665e-06,7.264351e-02,1.235856e-01,5.844384e-05,1.431386e-01,8.245431e-02,7.557588e-06,5.781100e-01	2653.792565	0.000139	-1.162213	-196.274603	103
0	7	cay004	cay015	56	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000006	0.999917	0.000001	0.000001	0.000001	0.000005	0.000001	0.000006	0.499962	-0.499955	-51.496046	122	-51.496089	0.000743	3.379247e-02,7.611609e-40,1.413707e-38,3.568411e-03,3.145930e-04,4.100329e-01,1.587875e-01,1.208153e-35,3.935041e-01	504.739483	0.000550	-0.765903	-58.770432	766
0	8	cay004	cay016	194	0.000000	0.000000	0.000000	0.000000	0.000000	0.000064	0.000850	0.738082	0.261004	0.261641	1.000000	0.999086	0.261429	0.261429	0.261004	0.738082	0.261004	0.999086	0.999968	0.000032	-194.438703	278	-1	0.002574	1.217795e-01,3.864849e-03,1.061381e-01,8.009656e-11,3.706370e-06,7.726064e-13,1.442325e-01,5.808367e-06,6.239756e-01	67551.443341	0.000015	-129.120268	-208.073872	1383
0	9	cay004	cay022	166	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000225	1.000000	0.000000	0.000000	0.000000	0.000225	0.000000	0.000225	0.500113	-0.499887	-168.622672	154	-168.622773	0.002203	7.221859e-02,3.628100e-09,1.025895e-05,4.921405e-05,4.020073e-08,3.424512e-01,2.107774e-01,1.211804e-05,3.744811e-01	5243378.551003	0.000000	-1.230831	-191.472630	766
0	10	cay004	cay027	69	0.000003	0.000001	0.000000	0.000000	0.000000	0.000012	0.000210	0.861841	0.137934	0.138091	0.999995	0.999775	0.138039	0.138038	0.137934	0.861841	0.137934	0.999774	0.999990	0.000006	-74.571883	438	-1	0.000916	9.792224e-02,7.035111e-03,9.785035e-02,4.113662e-121,2.336199e-141,6.643171e-160,1.738422e-01,1.073260e-34,6.233501e-01	116296848562453021453258483217343507999660813692292592164345230907177581049003982997753287488450058087151626896661906016533771504304305209344.000000	0.000000	-77.239034	-80.466632	10000
