a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	1	cay007	cay011	30487	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000004	0.001231	0.000004	0.000004	0.000004	0.000000	0.000004	0.000004	0.000617	-0.000613	-32905.311315	170	-32905.330161	0.011078	5.406885e-03,3.561283e-02,2.852095e-02,5.391853e-02,1.170706e-01,1.974647e-01,5.598646e-03,2.106209e-01,3.457859e-01	0.291445	0.220167	0.066732	-36033.293628	586
0	2	cay007	cay012	31593	0.984735	0.007477	0.000001	0.007754	0.000002	0.000000	0.000000	0.000000	0.000030	0.003772	0.000030	0.007787	0.001901	0.000030	0.000031	0.000001	0.000030	0.000032	0.007649	-0.003877	-34480.053235	174	-1	0.011480	6.122114e-03,4.290361e-02,2.598412e-02,6.218293e-02,9.740890e-02,1.990322e-01,1.605153e-02,1.978863e-01,3.524282e-01	0.431538	0.179047	0.019141	-37648.750912	215
0	3	cay007	cay013	111424	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000099	0.000079	0.001721	0.000089	0.000079	0.000079	0.000000	0.000079	0.000079	0.000920	-0.000821	-121739.570467	103	-121739.658925	0.040488	1.549522e-02,2.635128e-02,3.214412e-02,2.460186e-02,1.525034e-01,1.749531e-01,3.462925e-02,1.626325e-01,3.766893e-01	0.437849	0.334942	0.027333	-132869.342247	218
0	4	cay007	cay014	33299	0.932583	0.000000	0.000000	0.067405	0.000000	0.000000	0.000000	0.000000	0.000012	0.000012	0.000012	0.067417	0.000012	0.000012	0.000012	0.000000	0.000012	0.000012	0.033715	-0.033702	-36124.507260	130	-1	0.012100	2.354415e-02,7.100072e-03,4.229170e-02,3.186936e-02,1.421397e-01,1.829077e-01,3.070506e-02,1.711081e-01,3.683341e-01	0.513556	0.305033	-0.005690	-39415.472437	383
0	5	cay007	cay015	12906	0.904932	0.000000	0.000000	0.095038	0.000000	0.000000	0.000000	0.000000	0.000030	0.000030	0.000030	0.095068	0.000030	0.000030	0.000030	0.000000	0.000030	0.000030	0.047549	-0.047519	-13910.577920	134	-1	0.004690	2.170314e-02,9.502667e-09,4.614642e-02,3.836253e-02,1.492794e-01,1.753893e-01,3.490103e-02,1.541715e-01,3.800467e-01	0.542925	0.332492	-0.019229	-15202.500895	375
0	6	cay007	cay016	32450	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000020	0.000007	0.000453	0.000013	0.000007	0.000007	0.000000	0.000007	0.000007	0.000243	-0.000223	-35043.279706	134	-35043.294369	0.011791	7.748605e-03,3.778896e-02,2.674114e-02,2.311772e-02,1.703435e-01,1.628117e-01,2.692642e-02,1.773249e-01,3.671970e-01	0.315055	0.374620	0.084948	-38412.867471	406
0	7	cay007	cay018	28884	0.892557	0.000000	0.000000	0.107437	0.000000	0.000000	0.000000	0.000000	0.000006	0.000006	0.000006	0.107443	0.000006	0.000006	0.000006	0.000000	0.000006	0.000006	0.053724	-0.053719	-31359.965275	150	-1	0.010496	1.670921e-02,2.117076e-02,3.891326e-02,4.014078e-02,1.288990e-01,1.827068e-01,4.161440e-02,1.541275e-01,3.757182e-01	0.624734	0.269284	-0.049023	-34274.838448	454
0	8	cay007	cay020	25658	0.979638	0.000000	0.000000	0.020354	0.000000	0.000000	0.000000	0.000000	0.000008	0.000008	0.000008	0.020362	0.000008	0.000008	0.000008	0.000000	0.000008	0.000008	0.010185	-0.010177	-27805.756689	242	-1	0.009323	2.528450e-06,5.532439e-02,1.713391e-02,4.449523e-02,1.157746e-01,2.005337e-01,4.236006e-02,1.506794e-01,3.736962e-01	0.513877	0.226775	-0.004708	-30297.448124	247
0	9	cay007	cay022	29296	0.981597	0.000000	0.000000	0.018397	0.000000	0.000000	0.000000	0.000000	0.000005	0.000005	0.000005	0.018403	0.000005	0.000005	0.000005	0.000000	0.000005	0.000005	0.009204	-0.009199	-31832.255495	254	-1	0.010645	1.577196e-02,1.972483e-02,3.971797e-02,2.107738e-02,1.741876e-01,1.627714e-01,4.482220e-02,1.439799e-01,3.779467e-01	0.485340	0.403125	0.007339	-34737.720668	239
0	10	cay007	cay027	14011	0.944133	0.023527	0.009329	0.023007	0.000000	0.000000	0.000000	0.000000	0.000005	0.021098	0.000005	0.023011	0.010551	0.000005	0.000005	0.009329	0.000005	0.009334	0.032601	-0.011503	-15164.714052	234	-1	0.005091	7.552599e-10,4.835642e-02,1.960822e-02,6.997249e-02,9.135182e-02,2.081511e-01,1.396262e-02,1.834337e-01,3.651636e-01	0.367490	0.168085	0.034955	-16554.954404	1290
