pop2	test	pop1	outgroup	D	stderr	Zscore	ABBA	BABA	nsnp	dates
Boncuklu	cay004	CHG	Yoruba	0.003	0.006244	0.487	11108	11041	212872	7593.5
Boncuklu	cay004	Zagros_N	Yoruba	-0.0151	0.005521	-2.733	10819	11150	213554	7593.5
Boncuklu	cay004	Levant_N	Yoruba	-0.0116	0.008847	-1.311	2839	2906	48740	7593.5
Boncuklu	cay004	Natufian	Yoruba	-0.0281	0.01277	-2.198	1390	1470	24163	7593.5
Boncuklu	cay008	CHG	Yoruba	-0.0114	0.006477	-1.755	12089	12368	231878	7720
Boncuklu	cay008	Zagros_N	Yoruba	-0.009	0.004973	-1.81	12085	12304	232564	7720
Boncuklu	cay008	Levant_N	Yoruba	0.0121	0.008005	1.506	3330	3251	54616	7720
Boncuklu	cay008	Natufian	Yoruba	0.0379	0.01163	3.259	1701	1577	27124	7720
Boncuklu	cay007	CHG	Yoruba	4.00E-04	0.004996	0.087	66211	66154	1253533	8401
Boncuklu	cay007	Zagros_N	Yoruba	-0.0123	0.004006	-3.065	65178	66799	1258259	8401
Boncuklu	cay007	Levant_N	Yoruba	-0.0048	0.004529	-1.069	17358	17527	290531	8401
Boncuklu	cay007	Natufian	Yoruba	0.0059	0.00633	0.933	8785	8682	142511	8401
Boncuklu	cay011	CHG	Yoruba	-0.0081	0.007839	-1.037	5490	5580	106057	7562.5
Boncuklu	cay011	Zagros_N	Yoruba	-0.0117	0.006634	-1.761	5449	5578	106356	7562.5
Boncuklu	cay011	Levant_N	Yoruba	0.0028	0.011891	0.234	1425	1417	23761	7562.5
Boncuklu	cay011	Natufian	Yoruba	0.015	0.017642	0.851	722	701	11882	7562.5
Boncuklu	cay013	CHG	Yoruba	-0.0078	0.005569	-1.409	20004	20321	389664	7744
Boncuklu	cay013	Zagros_N	Yoruba	-0.0164	0.004708	-3.49	19722	20381	390733	7744
Boncuklu	cay013	Levant_N	Yoruba	-0.0186	0.006483	-2.873	5448	5655	93842	7744
Boncuklu	cay013	Natufian	Yoruba	-0.0057	0.00899	-0.634	2800	2832	46835	7744
Boncuklu	cay014	CHG	Yoruba	-0.0172	0.007213	-2.384	5799	6002	113258	8011.5
Boncuklu	cay014	Zagros_N	Yoruba	-0.0239	0.006012	-3.973	5782	6065	113561	8011.5
Boncuklu	cay014	Levant_N	Yoruba	-0.0021	0.01101	-0.191	1562	1568	26230	8011.5
Boncuklu	cay014	Natufian	Yoruba	0.0032	0.017288	0.185	806	800	13200	8011.5
Boncuklu	cay016	CHG	Yoruba	0.0026	0.007916	0.329	6006	5975	114238	7744
Boncuklu	cay016	Zagros_N	Yoruba	-0.004	0.006713	-0.593	5930	5977	114564	7744
Boncuklu	cay016	Levant_N	Yoruba	-4.00E-04	0.011584	-0.031	1531	1532	25911	7744
Boncuklu	cay016	Natufian	Yoruba	0.0142	0.016695	0.849	806	784	12930	7744
Boncuklu	cay022	CHG	Yoruba	-0.0065	0.007597	-0.853	5673	5747	107719	8266
Boncuklu	cay022	Zagros_N	Yoruba	-0.0035	0.00665	-0.521	5626	5666	108053	8266
Boncuklu	cay022	Levant_N	Yoruba	0.006	0.012081	0.495	1354	1338	22627	8266
Boncuklu	cay022	Natufian	Yoruba	-0.0119	0.018246	-0.651	663	679	11079	8266
