"A","B","C","f3","stderr","Zscore","nsnps"
"AH1","AH2","Yoruba",0.149431,0.00210424704987749,71.014,832404
"AH1","AH4","Yoruba",0.158025,0.00229607404393816,68.824,987256
"AH1","BAJ001_BAJ001","Yoruba",0.118822,0.00244620578910528,48.574,208211
"AH1","Bar31","Yoruba",0.124168,0.0019354677806528,64.154,1770251
"AH1","Bar8","Yoruba",0.123727,0.00193009796580557,64.104,1993179
"AH1","Bon002","Yoruba",0.125283,0.00191102535159706,65.558,1885820
"AH1","Bon004","Yoruba",0.130976,0.00243748836863066,53.734,310572
"AH1","CAY004","Yoruba",0.130643,0.0028423514566064,45.963,109251
"AH1","cay007","Yoruba",0.129014,0.0020560982995203,62.747,639844
"AH1","CAY008","Yoruba",0.128336,0.00258825427557277,49.584,119390
"AH1","cay011","Yoruba",0.131754,0.00326973569921827,40.295,54888
"AH1","cay012","Yoruba",0.12785,0.00307449980761831,41.584,57066
"AH1","cay013","Yoruba",0.131545,0.00251035285586153,52.401,204831
"AH1","cay014","Yoruba",0.130763,0.00331616453641712,39.432,59426
"AH1","cay015","Yoruba",0.130828,0.00457712626386314,28.583,23084
"AH1","cay016","Yoruba",0.129595,0.00323801314244309,40.023,58648
"AH1","cay022","Yoruba",0.125702,0.00332132005178746,37.847,53582
"AH1","cay027","Yoruba",0.135535,0.00457394033477322,29.632,23126
"AH1","cay033","Yoruba",0.129399,0.00411836409929981,31.42,29616
"AH1","cay1820","Yoruba",0.12906,0.00254305418719212,50.75,100166
"AH1","GD13a","Yoruba",0.149673,0.00214391302479481,69.813,985734
"AH1","I0707","Yoruba",0.125649,0.00194662803848359,64.547,740423
"AH1","I0708","Yoruba",0.127911,0.00202608819616043,63.132,681891
"AH1","I0709","Yoruba",0.123586,0.00205801735191754,60.051,741998
"AH1","I0723","Yoruba",0.124239,0.0023413930873318,53.062,196079
"AH1","I0724","Yoruba",0.118598,0.0044229879913478,26.814,24209
"AH1","I0725","Yoruba",0.118738,0.00521535555848377,22.767,19221
"AH1","I0726","Yoruba",0.124971,0.00263496246942734,47.428,127778
"AH1","I0727","Yoruba",0.128885,0.00446726283317736,28.851,23797
"AH1","I0736","Yoruba",0.123093,0.0020026193342661,61.466,435251
"AH1","I0744","Yoruba",0.127817,0.00203711908708402,62.744,507354
"AH1","I0745","Yoruba",0.125342,0.0020405033617139,61.427,778882
"AH1","I0746","Yoruba",0.124656,0.00196804546889801,63.34,749769
"AH1","I0861","Yoruba",0.119457,0.00338299679986406,35.311,56569
"AH1","I0867","Yoruba",0.119776,0.00213060106373517,56.217,338887
"AH1","I1069","Yoruba",0.136285,0.0101094132482753,13.481,4576
"AH1","I1072","Yoruba",0.111579,0.00228149920255183,48.906,183850
"AH1","I1096","Yoruba",0.126933,0.00214363157361435,59.214,340623
"AH1","I1097","Yoruba",0.127565,0.00203719377814686,62.618,335339
"AH1","I1098","Yoruba",0.12417,0.00214786113369428,57.811,362483
"AH1","I1099","Yoruba",0.125531,0.00217701432485866,57.662,230458
"AH1","I1100","Yoruba",0.123725,0.0026932453906267,45.939,116814
"AH1","I1101","Yoruba",0.12204,0.00208053462443315,58.658,290594
"AH1","I1102","Yoruba",0.125392,0.00247131397938469,50.739,165447
"AH1","I1103","Yoruba",0.124949,0.00232152279736911,53.822,255893
"AH1","I1293","Yoruba",0.148549,0.00390220132394662,38.068,44952
"AH1","I1414","Yoruba",0.119489,0.00639388912671233,18.688,10804
"AH1","I1415","Yoruba",0.107895,0.00789398595258999,13.668,7414
"AH1","I1416","Yoruba",0.136309,0.0108994882456421,12.506,4115
"AH1","I1580","Yoruba",0.129222,0.00200393896160288,64.484,589344
"AH1","I1581","Yoruba",0.125651,0.00210160901853215,59.788,444540
"AH1","I1583","Yoruba",0.125668,0.00196777476786246,63.863,705948
"AH1","I1671","Yoruba",0.148576,0.00234047982861014,63.481,232684
"AH1","I1679","Yoruba",0.121071,0.00537496115427303,22.525,18443
"AH1","I1685","Yoruba",0.106699,0.00696605079323627,15.317,9131
"AH1","I1687","Yoruba",0.099233,0.00854205044331583,11.617,6140
"AH1","I1690","Yoruba",0.123501,0.00827754691689008,14.92,6280
