A	B	C	f3	stderr	Zscore	nsnps
AH1	AH2	Yoruba	0.149431	0.0021042470498774894	71.014	832404
AH1	AH4	Yoruba	0.158025	0.002296074043938161	68.824	987256
AH1	BAJ001_BAJ001	Yoruba	0.118822	0.0024462057891052828	48.574	208211
AH1	Bar31	Yoruba	0.124168	0.0019354677806528043	64.154	1770251
AH1	Bar8	Yoruba	0.123727	0.0019300979658055661	64.104	1993179
AH1	Bon002	Yoruba	0.125283	0.001911025351597059	65.558	1885820
AH1	Bon004	Yoruba	0.130976	0.0024374883686306623	53.734	310572
AH1	CAY004	Yoruba	0.130643	0.002842351456606401	45.963	109251
AH1	cay007	Yoruba	0.129014	0.002056098299520296	62.747	639844
AH1	CAY008	Yoruba	0.128336	0.0025882542755727655	49.584	119390
AH1	cay011	Yoruba	0.131754	0.0032697356992182655	40.295	54888
AH1	cay012	Yoruba	0.12785	0.0030744998076183143	41.584	57066
AH1	cay013	Yoruba	0.131545	0.002510352855861529	52.401	204831
AH1	cay014	Yoruba	0.130763	0.003316164536417123	39.432	59426
AH1	cay015	Yoruba	0.130828	0.004577126263863135	28.583	23084
AH1	cay016	Yoruba	0.129595	0.0032380131424430947	40.023	58648
AH1	cay022	Yoruba	0.125702	0.00332132005178746	37.847	53582
AH1	cay027	Yoruba	0.135535	0.004573940334773217	29.632	23126
AH1	cay033	Yoruba	0.129399	0.004118364099299808	31.42	29616
AH1	cay1820	Yoruba	0.12906	0.0025430541871921185	50.75	100166
AH1	GD13a	Yoruba	0.149673	0.002143913024794809	69.813	985734
AH1	I0707	Yoruba	0.125649	0.0019466280384835858	64.547	740423
AH1	I0708	Yoruba	0.127911	0.0020260881961604257	63.132	681891
AH1	I0709	Yoruba	0.123586	0.002058017351917537	60.051	741998
AH1	I0723	Yoruba	0.124239	0.002341393087331801	53.062	196079
AH1	I0724	Yoruba	0.118598	0.004422987991347803	26.814	24209
AH1	I0725	Yoruba	0.118738	0.00521535555848377	22.767	19221
AH1	I0726	Yoruba	0.124971	0.0026349624694273427	47.428	127778
AH1	I0727	Yoruba	0.128885	0.00446726283317736	28.851	23797
AH1	I0736	Yoruba	0.123093	0.002002619334266098	61.466	435251
AH1	I0744	Yoruba	0.127817	0.0020371190870840236	62.744	507354
AH1	I0745	Yoruba	0.125342	0.0020405033617139044	61.427	778882
AH1	I0746	Yoruba	0.124656	0.0019680454688980106	63.34	749769
AH1	I0861	Yoruba	0.119457	0.003382996799864065	35.311	56569
AH1	I0867	Yoruba	0.119776	0.002130601063735169	56.217	338887
AH1	I1069	Yoruba	0.136285	0.01010941324827535	13.481	4576
AH1	I1072	Yoruba	0.111579	0.002281499202551834	48.906	183850
AH1	I1096	Yoruba	0.126933	0.002143631573614348	59.214	340623
AH1	I1097	Yoruba	0.127565	0.0020371937781468587	62.618	335339
AH1	I1098	Yoruba	0.12417	0.0021478611336942796	57.811	362483
AH1	I1099	Yoruba	0.125531	0.002177014324858659	57.662	230458
AH1	I1100	Yoruba	0.123725	0.0026932453906267006	45.939	116814
AH1	I1101	Yoruba	0.12204	0.0020805346244331547	58.658	290594
AH1	I1102	Yoruba	0.125392	0.0024713139793846946	50.739	165447
AH1	I1103	Yoruba	0.124949	0.0023215227973691055	53.822	255893
AH1	I1293	Yoruba	0.148549	0.003902201323946622	38.068	44952
AH1	I1414	Yoruba	0.119489	0.006393889126712329	18.688	10804
AH1	I1415	Yoruba	0.107895	0.007893985952589992	13.668	7414
