ind	pop	pop.diversity	date	era	shape	Region	lat	lon
Kumtepe	Kumtepe	Kumtepe	6500	Chalcolithic	others	Anatolia	39.95	26.2
I2495	Anatolia_BA	Anatolia_BA	4377	Bronze Age	others	Anatolia	37.91774	30.70839
I2683	Anatolia_BA	Anatolia_BA	4494	Bronze Age	others	Anatolia	37.91774	30.70839
I2499	Anatolia_BA	Anatolia_BA	4604	Bronze Age	others	Anatolia	37.91774	30.70839
MA2210	Anatolia_BA	Anatolia_BA	4700	Bronze Age	others	Anatolia	38.629306	34.297718
MA2212	Anatolia_BA	Anatolia_BA	4700	Bronze Age	others	Anatolia	38.629306	34.297718
MA2213	Anatolia_BA	Anatolia_BA	4700	Bronze Age	others	Anatolia	38.629306	34.297718
MA2200	Anatolia_BA	Anatolia_BA	3800	Bronze Age	others	Anatolia	39.345805	33.78813
MA2203	Anatolia_BA	Anatolia_BA	3800	Bronze Age	others	Anatolia	39.345805	33.78813
MA2205	Anatolia_BA	Anatolia_BA	3800	Bronze Age	others	Anatolia	39.345805	33.78813
MA2206	Anatolia_BA	Anatolia_BA	3800	Bronze Age	others	Anatolia	39.345805	33.78813
MA2208	Anatolia_BA	Anatolia_BA	3800	Bronze Age	others	Anatolia	39.345805	33.78813
ZHAG_BON004	Boncuklu	Boncuklu	9900	Neolithic	others	Anatolia	37.75	32.866667
ZHAJ_BON034	Boncuklu	Boncuklu	9900	Neolithic	others	Anatolia	37.75	32.866667
ZMOJ_BON014	Boncuklu	Boncuklu	9900	Neolithic	others	Anatolia	37.75	32.866667
ZKO_BON001	Boncuklu	Boncuklu	10000	Neolithic	others	Anatolia	37.75	32.866667
ZHJ_BON024	Boncuklu	Boncuklu	10189.5	Neolithic	others	Anatolia	37.75	32.866667
Bon004	Boncuklu	Boncuklu	10076	Neolithic	others	Anatolia	37.75191	32.864901
Bon002	Boncuklu	Boncuklu	10078	Neolithic	others	Anatolia	37.75191	32.864901
Bon001	Boncuklu	Boncuklu	10076	Neolithic	others	Anatolia	37.75191	32.864901
Bon005	Boncuklu	Boncuklu	10078	Neolithic	others	Anatolia	37.75191	32.864901
Bon009	Boncuklu	Boncuklu	10078	Neolithic	others	Anatolia	37.75191	32.864901
Tep006	Tepecik	Tepecik	8230	Neolithic	others	Anatolia	38.172218	34.49387
Tep004	Tepecik	Tepecik	8295	Neolithic	others	Anatolia	38.172218	34.49387
Tep003	Tepecik	Tepecik	8505	Neolithic	others	Anatolia	38.172218	34.49387
Tep002	Tepecik	Tepecik	8585	Neolithic	others	Anatolia	38.172218	34.49387
I0723	Mentese	Mentese	7870	Neolithic	others	Anatolia	40.26	29.65
I0724	Mentese	Mentese	7950	Neolithic	others	Anatolia	40.26	29.65
I0725	Mentese	Mentese	7950	Neolithic	others	Anatolia	40.26	29.65
I0726	Mentese	Mentese	7950	Neolithic	others	Anatolia	40.26	29.65
I0727	Mentese	Mentese	7950	Neolithic	others	Anatolia	40.26	29.65
I0746	Barcin	Barcin	7930	Neolithic	others	Anatolia	40.3	29.56666667
Bar31	Barcin	Barcin	7930	Neolithic	others	Anatolia	40.3	29.56666667
Bar8	Barcin	Barcin	7930	Neolithic	others	Anatolia	40.3	29.56666667
I0709	Barcin	Barcin	8086	Neolithic	others	Anatolia	40.3	29.56666667
I0707	Barcin	Barcin	8092	Neolithic	others	Anatolia	40.3	29.56666667
I0708	Barcin	Barcin	8097	Neolithic	others	Anatolia	40.3	29.56666667
I1580	Barcin	Barcin	8195	Neolithic	others	Anatolia	40.3	29.56666667
I0745	Barcin	Barcin	8251	Neolithic	others	Anatolia	40.3	29.56666667
I1581	Barcin	Barcin	8254	Neolithic	others	Anatolia	40.3	29.56666667
I0744	Barcin	Barcin	8273	Neolithic	others	Anatolia	40.3	29.56666667
I1583	Barcin	Barcin	8281	Neolithic	others	Anatolia	40.3	29.56666667
I1097	Barcin	Barcin	8288	Neolithic	others	Anatolia	40.3	29.56666667
I1098	Barcin	Barcin	8288	Neolithic	others	Anatolia	40.3	29.56666667
I0736	Barcin	Barcin	8300	Neolithic	others	Anatolia	40.3	29.56666667
I1096	Barcin	Barcin	8300	Neolithic	others	Anatolia	40.3	29.56666667
I1099	Barcin	Barcin	8300	Neolithic	others	Anatolia	40.3	29.56666667
I1100	Barcin	Barcin	8300	Neolithic	others	Anatolia	40.3	29.56666667
I1101	Barcin	Barcin	8300	Neolithic	others	Anatolia	40.3	29.56666667
I1102	Barcin	Barcin	8300	Neolithic	others	Anatolia	40.3	29.56666667
I1103	Barcin	Barcin	8300	Neolithic	others	Anatolia	40.3	29.56666667
ZBC_IPB001	Pinarbasi	Pinarbasi	15405	Epi-Paleolithic	others	Anatolia	37.483333	33.033333
CAY004	Cayonu004	Cayonu	9543.5	Cayonu	Cayonu	Cayonu	38.218247	39.726287
CAY007	Cayonu007	Cayonu	10351	Cayonu	Cayonu	Cayonu	38.218247	39.726287
CAY008	Cayonu008	Cayonu	9670	Cayonu	Cayonu	Cayonu	38.218247	39.726287
cay011	Cayonu011	Cayonu	9512.5	Cayonu	Cayonu	Cayonu	38.218247	39.726287
cay012	Cayonu012	Cayonu	9500	Cayonu	Cayonu	Cayonu	38.218247	39.726287
cay013	Cayonu013	Cayonu	9694	Cayonu	Cayonu	Cayonu	38.218247	39.726287
cay014	Cayonu014	Cayonu	9961.5	Cayonu	Cayonu	Cayonu	38.218247	39.726287
cay015	Cayonu015	Cayonu	9500	Cayonu	Cayonu	Cayonu	38.218247	39.726287
cay016	Cayonu016	Cayonu	9694	Cayonu	Cayonu	Cayonu	38.218247	39.726287
cay018	Cayonu018	Cayonu	9500	Cayonu	Cayonu	Cayonu	38.218247	39.726287
cay1820	Cayonu1820	Cayonu	9500	Cayonu	Cayonu	Cayonu	38.218247	39.726287
cay020	Cayonu020	Cayonu	9500	Cayonu	Cayonu	Cayonu	38.218247	39.726287
cay022	Cayonu022	Cayonu	10216	Cayonu	Cayonu	Cayonu	38.218247	39.726287
cay027	Cayonu027	Cayonu	9500	Cayonu	Cayonu	Cayonu	38.218247	39.726287
cay033	Cayonu033	Cayonu	9500	Cayonu	Cayonu	Cayonu	38.218247	39.726287
I4243	Iran_Hajji_Firuz_BA	Iran_Hajji_Firuz_BA	4326	Bronze Age	others	Zagros	36.9944	45.4744
