iid	Group ID	type	region	period
CCH294	C Anatolia PN	ancient	Anatolia	PN
CCH311	C Anatolia PN	ancient	Anatolia	PN
Tep002	C Anatolia PN	ancient	Anatolia	PN
Tep003	C Anatolia PN	ancient	Anatolia	PN
Tep004	C Anatolia PN	ancient	Anatolia	PN
Tep006	C Anatolia PN	ancient	Anatolia	PN
Ash128	C Anatolia PPN	ancient	Anatolia	PPN
Ash129	C Anatolia PPN	ancient	Anatolia	PPN
Bon002	C Anatolia PPN	ancient	Anatolia	PPN
AH1	C Zagros N	ancient	Zagros	N
AH2	C Zagros N	ancient	Zagros	N
AH4	C Zagros N	ancient	Zagros	N
GD13a	C Zagros N	ancient	Zagros	N
I1671	C Zagros N	ancient	Zagros	N
I1945	C Zagros N	ancient	Zagros	N
I1947	C Zagros N	ancient	Zagros	N
I1954	C Zagros N	ancient	Zagros	N
WC1	C Zagros N	ancient	Zagros	N
I0861	Levant EP	ancient	Levant	EP
I1072	Levant EP	ancient	Levant	EP
Kotias	S Caucasus EP	ancient	Caucasus	EP
Satsurblia	S Caucasus EP	ancient	Caucasus	EP
ALX002	S Caucasus N	ancient	Caucasus	N
MTT001	S Caucasus N	ancient	Caucasus	N
POT002	S Caucasus N	ancient	Caucasus	N
I0867	S Levant PPN	ancient	Levant	PPN
I1699	S Levant PPN	ancient	Levant	PPN
I1704	S Levant PPN	ancient	Levant	PPN
I1707	S Levant PPN	ancient	Levant	PPN
I1710	S Levant PPN	ancient	Levant	PPN
Bar31	W Anatolia PN	ancient	Anatolia	PN
Bar8	W Anatolia PN	ancient	Anatolia	PN
I0707	W Anatolia PN	ancient	Anatolia	PN
I0708	W Anatolia PN	ancient	Anatolia	PN
I0709	W Anatolia PN	ancient	Anatolia	PN
I0723	W Anatolia PN	ancient	Anatolia	PN
I0726	W Anatolia PN	ancient	Anatolia	PN
I0736	W Anatolia PN	ancient	Anatolia	PN
I0744	W Anatolia PN	ancient	Anatolia	PN
I0745	W Anatolia PN	ancient	Anatolia	PN
I0746	W Anatolia PN	ancient	Anatolia	PN
